stid,time,elev,lat,lon,tair
acme,2023-08-15T18:00:00,397.00,34.81,-98.02,83.89
adax,2023-08-15T18:00:00,295.00,34.80,-96.67,nan
altu,2023-08-15T18:00:00,416.00,34.59,-99.34,85.08
alv2,2023-08-15T18:00:00,439.00,36.71,-98.71,82.36
ant2,2023-08-15T18:00:00,172.00,34.25,-95.67,86.13
apac,2023-08-15T18:00:00,440.00,34.91,-98.29,82.92
ard2,2023-08-15T18:00:00,266.00,34.19,-97.09,87.33
arne,2023-08-15T18:00:00,719.00,36.07,-99.90,84.69
beav,2023-08-15T18:00:00,758.00,36.80,-100.53,84.13
bess,2023-08-15T18:00:00,511.00,35.40,-99.06,83.17
bixb,2023-08-15T18:00:00,184.00,35.96,-95.87,80.89
blac,2023-08-15T18:00:00,304.00,36.75,-97.25,81.88
bois,2023-08-15T18:00:00,1267.00,36.69,-102.50,82.56
brec,2023-08-15T18:00:00,352.00,36.41,-97.69,81.52
bris,2023-08-15T18:00:00,239.00,35.78,-96.35,79.72
brok,2023-08-15T18:00:00,113.00,34.04,-94.62,85.12
buff,2023-08-15T18:00:00,559.00,36.83,-99.64,84.00
burb,2023-08-15T18:00:00,301.00,36.63,-96.81,80.98
burn,2023-08-15T18:00:00,228.00,33.89,-97.27,89.04
butl,2023-08-15T18:00:00,520.00,35.59,-99.27,84.09
byar,2023-08-15T18:00:00,345.00,34.85,-97.00,83.41
cama,2023-08-15T18:00:00,589.00,36.03,-99.35,84.96
carl,2023-08-15T18:00:00,293.00,36.15,-97.29,82.00
cent,2023-08-15T18:00:00,208.00,34.61,-96.33,85.12
chan,2023-08-15T18:00:00,291.00,35.65,-96.80,81.45
cher,2023-08-15T18:00:00,362.00,36.75,-98.36,81.82
chey,2023-08-15T18:00:00,694.00,35.55,-99.73,83.97
chic,2023-08-15T18:00:00,328.00,35.03,-97.91,85.06
clay,2023-08-15T18:00:00,186.00,34.66,-95.33,83.80
clou,2023-08-15T18:00:00,221.00,34.22,-95.25,86.63
cook,2023-08-15T18:00:00,299.00,35.68,-94.85,78.49
copa,2023-08-15T18:00:00,250.00,36.91,-95.89,79.43
dura,2023-08-15T18:00:00,197.00,33.92,-96.32,87.17
elkc,2023-08-15T18:00:00,584.00,35.33,-99.39,84.76
elre,2023-08-15T18:00:00,419.00,35.55,-98.04,82.35
eric,2023-08-15T18:00:00,603.00,35.20,-99.80,86.43
eufa,2023-08-15T18:00:00,200.00,35.30,-95.66,80.31
evax,2023-08-15T18:00:00,1065.00,36.92,-101.78,85.26
fair,2023-08-15T18:00:00,405.00,36.26,-98.50,82.56
fitt,2023-08-15T18:00:00,350.00,34.55,-96.72,84.24
fora,2023-08-15T18:00:00,330.00,36.84,-96.43,79.57
free,2023-08-15T18:00:00,530.00,36.73,-99.14,82.90
ftcb,2023-08-15T18:00:00,422.00,35.15,-98.47,82.62
good,2023-08-15T18:00:00,997.00,36.60,-101.60,84.63
gra2,2023-08-15T18:00:00,341.00,34.24,-98.74,91.78
