stid,time,elev,lat,lon,tair
acme,2023-08-15T15:55:00,397.00,34.81,-98.02,79.72
adax,2023-08-15T15:55:00,295.00,34.80,-96.67,81.57
altu,2023-08-15T15:55:00,416.00,34.59,-99.34,81.99
alv2,2023-08-15T15:55:00,439.00,36.71,-98.71,78.04
ant2,2023-08-15T15:55:00,172.00,34.25,-95.67,83.28
apac,2023-08-15T15:55:00,440.00,34.91,-98.29,79.43
ard2,2023-08-15T15:55:00,266.00,34.19,-97.09,82.51
arne,2023-08-15T15:55:00,719.00,36.07,-99.90,79.39
beav,2023-08-15T15:55:00,758.00,36.80,-100.53,77.29
bess,2023-08-15T15:55:00,511.00,35.40,-99.06,78.75
bixb,2023-08-15T15:55:00,184.00,35.96,-95.87,78.12
blac,2023-08-15T15:55:00,304.00,36.75,-97.25,nan
bois,2023-08-15T15:55:00,1267.00,36.69,-102.50,76.80
brec,2023-08-15T15:55:00,352.00,36.41,-97.69,78.35
bris,2023-08-15T15:55:00,239.00,35.78,-96.35,76.78
brok,2023-08-15T15:55:00,113.00,34.04,-94.62,81.18
buff,2023-08-15T15:55:00,559.00,36.83,-99.64,75.18
burb,2023-08-15T15:55:00,301.00,36.63,-96.81,78.35
burn,2023-08-15T15:55:00,228.00,33.89,-97.27,84.20
butl,2023-08-15T15:55:00,520.00,35.59,-99.27,79.86
byar,2023-08-15T15:55:00,345.00,34.85,-97.00,80.17
cama,2023-08-15T15:55:00,589.00,36.03,-99.35,79.02
carl,2023-08-15T15:55:00,293.00,36.15,-97.29,79.03
cent,2023-08-15T15:55:00,208.00,34.61,-96.33,81.30
chan,2023-08-15T15:55:00,291.00,35.65,-96.80,78.21
cher,2023-08-15T15:55:00,362.00,36.75,-98.36,77.99
chey,2023-08-15T15:55:00,694.00,35.55,-99.73,80.85
chic,2023-08-15T15:55:00,328.00,35.03,-97.91,80.56
clay,2023-08-15T15:55:00,186.00,34.66,-95.33,80.28
clou,2023-08-15T15:55:00,221.00,34.22,-95.25,81.90
cook,2023-08-15T15:55:00,299.00,35.68,-94.85,75.47
copa,2023-08-15T15:55:00,250.00,36.91,-95.89,75.11
dura,2023-08-15T15:55:00,197.00,33.92,-96.32,83.70
elkc,2023-08-15T15:55:00,584.00,35.33,-99.39,79.88
elre,2023-08-15T15:55:00,419.00,35.55,-98.04,78.69
eric,2023-08-15T15:55:00,603.00,35.20,-99.80,81.43
eufa,2023-08-15T15:55:00,200.00,35.30,-95.66,77.74
evax,2023-08-15T15:55:00,1065.00,36.92,-101.78,80.13
fair,2023-08-15T15:55:00,405.00,36.26,-98.50,78.12
fitt,2023-08-15T15:55:00,350.00,34.55,-96.72,80.89
fora,2023-08-15T15:55:00,330.00,36.84,-96.43,nan
free,2023-08-15T15:55:00,530.00,36.73,-99.14,77.99
ftcb,2023-08-15T15:55:00,422.00,35.15,-98.47,78.62
good,2023-08-15T15:55:00,997.00,36.60,-101.60,80.56
gra2,2023-08-15T15:55:00,341.00,34.24,-98.74,85.86
guth,2023-08-15T15:55:00,330.00,35.85,-97.48,nan
hask,2023-08-15T15:55:00,183.00,35.75,-95.64,77.20
hect,2023-08-15T15:55:00,243.00,35.84,-96.00,77.40
